2023-11-03 17:06:47,424,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:47,526,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:47,628,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:47,734,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:47,841,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:47,938,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:48,037,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:48,137,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:48,234,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:48,333,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:48,436,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:48,545,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:48,647,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:48,747,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:48,856,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:48,965,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:49,071,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:49,172,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:49,278,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:49,385,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:49,493,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:49,592,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:49,690,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:49,792,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:49,894,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:49,998,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:50,110,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:50,221,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:50,329,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:50,436,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:50,542,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:50,652,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:50,766,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:50,865,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:50,960,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:51,060,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:51,177,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:51,277,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:51,387,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:51,493,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:51,600,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:51,705,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:51,818,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:51,932,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:52,031,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:52,133,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:52,230,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:52,327,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:52,426,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:52,521,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:06:52,624,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:01,912,WARNING,controller.py,single_step_joint,895,line_plane ee is nearly collided with object
2023-11-03 17:07:02,003,WARNING,controller.py,single_step_joint,895,line_plane ee is nearly collided with object
2023-11-03 17:07:02,103,WARNING,controller.py,single_step_joint,895,line_plane ee is nearly collided with object
2023-11-03 17:07:02,203,WARNING,controller.py,single_step_joint,895,line_plane ee is nearly collided with object
2023-11-03 17:07:04,038,DEBUG,protocol.py,keepalive_ping,1261,% sending keepalive ping
2023-11-03 17:07:04,064,DEBUG,protocol.py,keepalive_ping,1268,% received keepalive pong
2023-11-03 17:07:17,808,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:17,953,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:18,060,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:18,163,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:18,264,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:18,367,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:18,473,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:18,567,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:18,663,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:18,765,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:18,871,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:18,973,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:19,069,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:19,167,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:19,262,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:19,357,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:19,451,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:19,556,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:19,662,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:19,764,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:19,862,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:19,973,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:20,086,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:20,185,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:20,287,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:20,387,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:20,485,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:20,589,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:20,696,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:20,797,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:20,892,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:20,987,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:21,080,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:21,174,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:21,290,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:21,398,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:21,500,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:21,601,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:21,703,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:21,807,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:21,908,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:22,000,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:22,099,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
2023-11-03 17:07:22,197,WARNING,controller.py,single_step_cartesian,847,line_plane ee is nearly collided with object
